             r          p1s           p2s           p2p           p3s           p6p 
   0.30745E+01   0.20757E-06  -0.65745E-02   0.17328E-01   0.57915E+00  -0.92457E-01
   0.31499E+01  -0.31105E-06  -0.54910E-02   0.14974E-01   0.56626E+00  -0.93307E-01
   0.31983E+01  -0.58424E-06  -0.48955E-02   0.13636E-01   0.55766E+00  -0.93767E-01
   0.32239E+01  -0.71230E-06  -0.46084E-02   0.12977E-01   0.55302E+00  -0.93983E-01
   0.32783E+01  -0.95092E-06  -0.40555E-02   0.11681E-01   0.54297E+00  -0.94382E-01
   0.33631E+01  -0.12440E-05  -0.33308E-02   0.99168E-02   0.52688E+00  -0.94837E-01
   0.34588E+01  -0.14820E-05  -0.26768E-02   0.82466E-02   0.50823E+00  -0.95109E-01
   0.35436E+01  -0.16282E-05  -0.22143E-02   0.70076E-02   0.49142E+00  -0.95138E-01
   0.35980E+01  -0.16963E-05  -0.19648E-02   0.63140E-02   0.48054E+00  -0.95054E-01
   0.36268E+01  -0.17254E-05  -0.18457E-02   0.59759E-02   0.47476E+00  -0.94976E-01
   0.36881E+01  -0.17732E-05  -0.16190E-02   0.53173E-02   0.46245E+00  -0.94737E-01
   0.37835E+01  -0.18156E-05  -0.13273E-02   0.44363E-02   0.44328E+00  -0.94166E-01
   0.38912E+01  -0.18269E-05  -0.10698E-02   0.36202E-02   0.42175E+00  -0.93234E-01
   0.39866E+01  -0.18128E-05  -0.89121E-03   0.30276E-02   0.40291E+00  -0.92160E-01
   0.40478E+01  -0.17945E-05  -0.79613E-03   0.27013E-02   0.39095E+00  -0.91349E-01
   0.40802E+01  -0.17825E-05  -0.75110E-03   0.25437E-02   0.38469E+00  -0.90883E-01
   0.41491E+01  -0.17522E-05  -0.66592E-03   0.22399E-02   0.37149E+00  -0.89806E-01
   0.42564E+01  -0.16951E-05  -0.55732E-03   0.18404E-02   0.35136E+00  -0.87901E-01
   0.43776E+01  -0.16204E-05  -0.46216E-03   0.14781E-02   0.32932E+00  -0.85428E-01
   0.44849E+01  -0.15486E-05  -0.39623E-03   0.12203E-02   0.31047E+00  -0.82963E-01
   0.45538E+01  -0.15008E-05  -0.36100E-03   0.10805E-02   0.29872E+00  -0.81251E-01
   0.45902E+01  -0.14753E-05  -0.34425E-03   0.10136E-02   0.29262E+00  -0.80305E-01
   0.46677E+01  -0.14204E-05  -0.31235E-03   0.88579E-03   0.27993E+00  -0.78203E-01
   0.47884E+01  -0.13348E-05  -0.27108E-03   0.72018E-03   0.26089E+00  -0.74693E-01
   0.49248E+01  -0.12393E-05  -0.23389E-03   0.57267E-03   0.24052E+00  -0.70403E-01
   0.50455E+01  -0.11571E-05  -0.20717E-03   0.46942E-03   0.22348E+00  -0.66336E-01
   0.51230E+01  -0.11058E-05  -0.19240E-03   0.41404E-03   0.21303E+00  -0.63601E-01
   0.51640E+01  -0.10791E-05  -0.18522E-03   0.38770E-03   0.20765E+00  -0.62117E-01
   0.52512E+01  -0.10238E-05  -0.17123E-03   0.33767E-03   0.19658E+00  -0.58879E-01
   0.53870E+01  -0.94132E-06  -0.15232E-03   0.27344E-03   0.18027E+00  -0.53629E-01
   0.55404E+01  -0.85387E-06  -0.13426E-03   0.21675E-03   0.16319E+00  -0.47428E-01
   0.56762E+01  -0.78160E-06  -0.12053E-03   0.17729E-03   0.14921E+00  -0.41726E-01
   0.57634E+01  -0.73778E-06  -0.11262E-03   0.15619E-03   0.14077E+00  -0.37975E-01
   0.58095E+01  -0.71539E-06  -0.10868E-03   0.14615E-03   0.13648E+00  -0.35966E-01
   0.59076E+01  -0.66960E-06  -0.10084E-03   0.12709E-03   0.12772E+00  -0.31639E-01
   0.60604E+01  -0.60306E-06  -0.89852E-04   0.10257E-03   0.11504E+00  -0.24776E-01
   0.62329E+01  -0.53465E-06  -0.78968E-04   0.80783E-04   0.10207E+00  -0.16888E-01
   0.63857E+01  -0.47972E-06  -0.70463E-04   0.65464E-04   0.91682E-01  -0.98251E-02
   0.64838E+01  -0.44709E-06  -0.65492E-04   0.57182E-04   0.85525E-01  -0.52699E-02
   0.65357E+01  -0.43062E-06  -0.63004E-04   0.53217E-04   0.82421E-01  -0.28574E-02
   0.66460E+01  -0.39735E-06  -0.58015E-04   0.45621E-04   0.76157E-01   0.22716E-02
   0.68179E+01  -0.35003E-06  -0.50995E-04   0.35694E-04   0.67260E-01   0.10232E-01
   0.70120E+01  -0.30267E-06  -0.44041E-04   0.26674E-04   0.58369E-01   0.19127E-01
